STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
50 ST,1,1306.0,7194.0,84142.0,47066.0
50 ST,CE,3401.0,6467.0,56338.0,31100.0
50 ST,D,1111.0,597.0,8598.0,6658.0
51 ST,6,1081.0,7263.0,76388.0,42100.0
52 ST,7,5310.0,991.0,3328.0,3569.0
53 ST,R,4961.0,1804.0,17293.0,24543.0
55 ST,D,826.0,112.0,6608.0,2466.0
57 ST-7 AV,NQRW,2206.0,8214.0,125110.0,47977.0
59 ST,456NQRW,2201.0,12231.0,109358.0,63226.0
59 ST,NQR456W,601.0,1950.0,15580.0,6105.0
59 ST,NRW,6767.0,1097.0,24463.0,13549.0
59 ST COLUMBUS,1ABCD,845.0,3091.0,47368.0,28292.0
59 ST COLUMBUS,ABCD1,3770.0,14303.0,191376.0,106239.0
6 AV,FLM123,789.0,518.0,17661.0,5976.0
61 ST WOODSIDE,7,23282.0,5620.0,13516.0,19382.0
63 DR-REGO PARK,MR,7434.0,783.0,31577.0,16758.0
65 ST,MR,4748.0,828.0,3118.0,2513.0
66 ST-LINCOLN,1,5190.0,15242.0,29060.0,21153.0
67 AV,MR,6762.0,884.0,15040.0,11518.0
68ST-HUNTER CO,6,3733.0,16151.0,38723.0,23576.0
69 ST,7,6008.0,1827.0,3867.0,3781.0
7 AV,BDE,2311.0,16390.0,19919.0,17690.0
7 AV,BQ,6456.0,2682.0,8254.0,8040.0
7 AV,FG,8270.0,3252.0,12881.0,5916.0
71 ST,D,7121.0,309.0,8213.0,5714.0
72 ST,123,14960.0,18563.0,42313.0,40786.0
72 ST,BC,417.0,792.0,21811.0,18677.0
72 ST-2 AVE,Q,10584.0,20701.0,34176.0,23721.0
74 ST-BROADWAY,7EFMR,843.0,512.0,6946.0,11624.0
75 AV,EF,22541.0,1481.0,223377.0,65836.0
75 ST-ELDERTS,JZ,3857.0,295.0,5686.0,6307.0
77 ST,6,11135.0,21460.0,34225.0,26216.0
77 ST,R,3461.0,202.0,9327.0,5757.0
79 ST,1,5901.0,4281.0,18119.0,9656.0
79 ST,D,7376.0,597.0,9172.0,4432.0
8 AV,ACEL,4572.0,6636.0,24963.0,15301.0
8 AV,N,9474.0,2507.0,12331.0,10885.0
8 ST-NYU,NRW,1081.0,1320.0,50591.0,34960.0
80 ST,A,8396.0,336.0,3225.0,1923.0
81 ST-MUSEUM,BC,2865.0,5468.0,6475087.0,11256520.0
82 ST-JACKSON H,7,7699.0,1901.0,34063.0,49599.0
85 ST-FOREST PK,J,4103.0,274.0,5217.0,5787.0
86 ST,1,10292.0,10634.0,22371.0,20146.0
86 ST,456,6048.0,16463.0,122451.0,109819.0
86 ST,BC,840.0,970.0,26837.0,17656.0
86 ST,N,3528.0,581.0,1781.0,1648.0
86 ST,R,7239.0,1101.0,23018.0,18422.0
86 ST-2 AVE,Q,18322.0,7555.0,21875.0,14843.0
88 ST,A,6117.0,135.0,2051.0,958.0
9 AV,D,7721.0,1523.0,4403.0,5406.0
90 ST-ELMHURST,7,14656.0,912.0,29059.0,20140.0
96 ST,123,19894.0,17972.0,39637.0,38698.0
96 ST,6,7965.0,4526.0,22489.0,5641.0
96 ST,BC,1066.0,1217.0,28651.0,18934.0
96 ST-2 AVE,Q,16102.0,6955.0,18646.0,12031.0
ALABAMA AV,J,1999.0,1922.0,2276.0,2254.0
ALLERTON AV,25,8600.0,852.0,5130.0,2435.0
AQUEDUCT N.COND,A,2137.0,308.0,596.0,2098.0
AQUEDUCT RACETR,A,589.0,27.0,4419.0,371.0
ASTOR PL,6,6835.0,6425.0,17285.0,17140.0
ASTORIA BLVD,NQW,5115.0,1111.0,19106.0,24204.0
ASTORIA DITMARS,NQW,13218.0,1005.0,24295.0,24259.0
ATL AV-BARCLAY,2345BDNQR,5170.0,2427.0,45913.0,63209.0
ATL AV-BARCLAY,BDNQR2345,3891.0,2809.0,50992.0,57593.0
ATLANTIC AV,L,897.0,376.0,4249.0,1687.0
AVENUE H,BQ,1368.0,258.0,9257.0,7600.0
AVENUE I,F,1630.0,500.0,2677.0,732.0
AVENUE J,BQ,4610.0,1118.0,13738.0,7689.0
AVENUE M,BQ,4135.0,1302.0,14870.0,5400.0
AVENUE N,F,3688.0,343.0,2141.0,870.0
AVENUE P,F,2699.0,210.0,3818.0,2470.0
AVENUE U,BQ,10145.0,735.0,6739.0,3212.0
AVENUE U,F,2936.0,390.0,1680.0,908.0
AVENUE U,N,3142.0,139.0,1278.0,734.0
AVENUE X,F,2047.0,321.0,4858.0,5048.0
B'WAY-LAFAYETTE,BDFQ6,2224.0,12377.0,23714.0,32224.0
BAY 50 ST,D,4519.0,306.0,2607.0,452.0
BAY PKWY,D,11701.0,1502.0,7185.0,7057.0
BAY PKWY,F,1440.0,265.0,1198.0,370.0
BAY PKWY,N,11490.0,129.0,5252.0,1761.0
BAY RIDGE AV,R,4264.0,398.0,13674.0,11319.0
BAY RIDGE-95 ST,R,3833.0,442.0,9698.0,9881.0
BAYCHESTER AV,5,6655.0,312.0,3703.0,504.0
BEACH 105 ST,AS,515.0,152.0,288.0,183.0
BEACH 25 ST,A,2224.0,375.0,3060.0,4913.0
BEACH 36 ST,A,1124.0,135.0,1440.0,2579.0
BEACH 44 ST,A,783.0,366.0,1418.0,1874.0
BEACH 60 ST,A,2526.0,303.0,3233.0,4165.0
BEACH 67 ST,A,2438.0,384.0,3518.0,4177.0
BEACH 90 ST,AS,1930.0,184.0,626.0,681.0
BEACH 98 ST,AS,934.0,302.0,600.0,421.0
BEDFORD AV,L,8934.0,6927.0,53225.0,74372.0
BEDFORD PK BLVD,4,3550.0,1016.0,14509.0,9934.0
BEDFORD PK BLVD,BD,10584.0,1327.0,6698.0,3297.0
BEDFORD-NOSTRAN,G,3008.0,497.0,15828.0,12173.0
BERGEN ST,23,703.0,461.0,6812.0,8375.0
BERGEN ST,FG,6602.0,3242.0,11304.0,7217.0
BEVERLEY ROAD,BQ,1836.0,248.0,5432.0,7621.0
BEVERLY RD,25,5279.0,212.0,6705.0,2387.0
BLEECKER ST,6DF,4017.0,2086.0,38181.0,14959.0
BOROUGH HALL,2345R,4396.0,7258.0,106633.0,50947.0
BOROUGH HALL,R2345,261.0,219.0,7433.0,3937.0
BOTANIC GARDEN,S2345,787.0,1121.0,1283.0,1992.0
BOWERY,JZ,354.0,1023.0,9195.0,9412.0
BOWLING GREEN,45,4398.0,6420.0,91546.0,44269.0
BRIARWOOD,EF,3372.0,447.0,9036.0,6890.0
BRIGHTON BEACH,BQ,6065.0,689.0,30172.0,19403.0
BROAD CHANNEL,AS,832.0,52.0,194.0,94.0
BROAD ST,JZ,841.0,2089.0,7435.0,1951.0
BROADWAY,G,4180.0,1875.0,4653.0,3310.0
BROADWAY JCT,ACJLZ,5493.0,2685.0,16689.0,19206.0
BRONX PARK EAST,25,4699.0,581.0,2536.0,1081.0
BROOK AV,6,7403.0,3375.0,7311.0,5562.0
BROOKLYN BRIDGE,456JZ,1195.0,5182.0,63755.0,31598.0
BUHRE AV,6,8120.0,933.0,2872.0,3162.0
BURKE AV,25,6306.0,344.0,2770.0,1428.0
BURNSIDE AV,4,7070.0,810.0,3074121.0,6077458.0
BUSHWICK AV,L,964.0,166.0,3947.0,3386.0
CANAL ST,1,826.0,2757.0,7002.0,5602.0
CANAL ST,ACE,1276.0,5619.0,70390.0,35955.0
CANAL ST,JNQRZ6W,5204.0,12597.0,55371.0,35343.0
CANARSIE-ROCKAW,L,19557.0,919.0,9087.0,2455.0
CARROLL ST,FG,1937.0,715.0,25590.0,13038.0
CASTLE HILL AV,6,6072.0,1268.0,11674.0,18837.0
CATHEDRAL PKWY,1,7448.0,3518.0,14394.0,6822.0
CATHEDRAL PKWY,BC,4714.0,1699.0,6426.0,2642.0
CENTRAL AV,M,3902.0,1033.0,3465.0,2751.0
CENTRAL PK N110,23,2770.0,1855.0,19818.0,16757.0
CHAMBERS ST,123,977.0,4046.0,71587.0,37644.0
